City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,timmins,48.4669,-81.3331,-1.1,100,100,2.57,CA,1701041189
303,mako,46.2167,20.4833,-0.52,67,43,5.52,HU,1701041190
304,sinop,41.7711,34.8709,1.44,75,39,3.41,TR,1701041190
305,iqaluit,63.7506,-68.5145,-11.15,73,75,1.54,CA,1701041190
306,bhainsdehi,21.6467,77.6325,14.02,89,99,3.01,IN,1701041190
307,tazovsky,67.4667,78.7,-19.24,97,89,4.75,RU,1701041191
308,ngereklmadel,7.4883,134.4856,30.05,74,75,4.63,PW,1701041191
309,enschede,52.2183,6.8958,5.4,89,100,3.58,NL,1701041191
310,sisimiut,66.9395,-53.6735,-3.77,94,100,3.45,GL,1701041191
311,prince rupert,54.3161,-130.3201,6.05,91,20,5.66,CA,1701041192
312,avarua,-21.2078,-159.775,27.03,65,75,8.75,CK,1701041192
313,boali,4.8005,18.1275,23.49,85,95,0.41,CF,1701041192
314,taro,-8.3862,115.28,23.0,83,100,0.51,ID,1701041192
315,ponta delgada,37.7333,-25.6667,20.4,94,75,8.75,PT,1701041193
316,hami,42.8,93.45,1.97,44,100,3.33,CN,1701041193
317,reggane,26.7158,0.1714,17.16,26,48,4.44,DZ,1701041193
318,mahibadhoo,3.7833,72.9667,27.93,74,81,2.25,MV,1701041193
319,gabane,-24.6667,25.7822,26.55,32,38,0.9,BW,1701041194
320,kirkland lake,48.1446,-80.0377,-0.84,93,100,3.6,CA,1701041194
321,walvis bay,-22.9575,14.5053,15.61,80,65,3.73,NA,1701041102
322,aral,40.5156,81.2636,2.79,38,53,1.53,CN,1701041194
323,kerikeri,-35.2268,173.9474,21.06,70,76,0.89,NZ,1701041195
324,custodia,-8.0875,-37.6431,27.2,33,0,5.67,BR,1701041195
325,vadso,70.0744,29.7487,-1.91,80,75,5.66,NO,1701041195
326,shiguai,40.7058,110.2856,-4.19,45,46,7.05,CN,1701041195
327,bullhead city,35.1478,-114.5683,17.68,27,0,10.29,US,1701041196
328,altai,46.3722,96.2583,-10.95,71,2,1.28,MN,1701041196
329,sorong,-0.8833,131.25,26.35,85,100,3.09,ID,1701041196
330,nizhnyaya tavda,57.6731,66.1725,-0.2,97,100,4.13,RU,1701041196
331,villa gesell,-37.2639,-56.973,20.19,61,31,8.06,AR,1701041197
332,belozersk,60.0326,37.7957,-11.12,91,66,2.24,RU,1701041197
333,urangan,-25.3,152.9,24.17,73,93,2.55,AU,1701041197
334,ipsala,40.9212,26.3827,2.89,56,45,0.62,TR,1701041198
335,mar del plata,-38.0023,-57.5575,28.01,57,40,6.71,AR,1701041198
336,severnoye,56.3491,78.3619,-0.57,97,98,3.58,RU,1701041198
337,kapa'a,22.0752,-159.319,26.99,79,75,7.72,US,1701041198
338,berdigestyakh,62.0989,126.6992,-22.65,95,100,3.28,RU,1701041198
339,hamilton,39.1834,-84.5333,7.74,87,100,5.14,US,1701041120
340,charters towers,-20.1,146.2667,26.63,64,99,6.23,AU,1701041199
341,inirida,3.8653,-67.9239,24.41,93,91,1.01,CO,1701041199
342,kuanda,56.3161,116.0806,-25.85,96,100,0.12,RU,1701041199
343,broome,42.2506,-75.833,6.5,87,100,6.17,US,1701041200
344,baragua,21.6967,-78.6328,24.53,76,0,2.61,CU,1701041200
345,giarmata,45.8383,21.3108,-1.75,86,0,3.6,RO,1701041200
346,queenstown,-31.8976,26.8753,17.37,97,1,0.9,ZA,1701041201
347,karayazi,39.7028,42.1456,1.16,95,100,13.97,TR,1701041201
348,tofol,5.3248,163.0078,30.88,70,75,3.09,FM,1701041201
349,sinabang,2.4803,96.3801,25.86,80,100,1.3,ID,1701041201
350,kangding,30.0513,101.9603,2.72,37,0,4.11,CN,1701041201
351,kununurra,-15.7667,128.7333,27.99,74,23,1.54,AU,1701041202
352,koupela,12.1794,-0.3517,30.42,36,100,1.89,BF,1701041202
353,maceio,-9.6658,-35.7353,23.69,88,0,3.09,BR,1701041202
354,sarkand,45.41,79.9186,7.54,42,96,2.53,KZ,1701041202
355,colonia,50.9333,6.95,5.54,82,40,2.57,DE,1701040976
356,namtsy,62.7161,129.6658,-27.24,91,100,2.06,RU,1701041203
357,saint-philippe,-21.3585,55.7679,21.77,77,29,2.49,RE,1701041203
358,arraial do cabo,-22.9661,-42.0278,22.92,77,69,6.82,BR,1701041203
359,luderitz,-26.6481,15.1594,20.57,52,0,8.84,NA,1701041203
360,mili,6.0815,171.735,28.28,80,89,8.1,MH,1701041204
361,tshabong,-26.05,22.45,30.66,20,15,2.27,BW,1701041204
362,city of balikpapan,-1.242,116.8942,25.97,89,20,1.03,ID,1701041204
